./static/chairbot/py/CB03.txt
x/ll[0] 	 y/ll[1] 	 degree 	 time
484.75	252.0	245.959380465	1590693337.35	
484.25	252.0	244.349773741	1590693337.39	
484.0	252.25	244.007887521	1590693337.42	
482.75	252.5	244.349773741	1590693337.45	
482.5	252.75	244.007887521	1590693337.49	
483.5	251.75	243.100541456	1590693337.52	
483.75	251.75	242.634461077	1590693337.55	
484.0	251.25	241.986142647	1590693337.59	
484.5	251.25	241.113418233	1590693337.62	
484.25	252.5	240.493000169	1590693337.65	
484.0	253.5	240.376251249	1590693337.69	
484.0	254.25	239.333550256	1590693337.72	
483.5	255.25	239.176102701	1590693337.75	
483.5	255.25	238.909389551	1590693337.79	
482.25	257.25	240.422161319	1590693337.82	
478.25	259.5	244.087244505	1590693337.85	
477.5	261.5	244.306300341	1590693337.88	
478.5	261.0	242.576649293	1590693337.92	
478.0	261.25	242.686725582	1590693337.95	
477.75	262.5	242.801872051	1590693337.98	
474.25	265.0	243.857009546	1590693338.02	
467.0	270.0	248.725030028	1590693338.05	
461.75	276.0	251.639172455	1590693338.08	
457.5	279.75	253.278198374	1590693338.11	
452.75	282.25	254.869799223	1590693338.15	
444.75	285.5	259.29315872	1590693338.18	
437.75	289.5	261.564232487	1590693338.22	
432.5	294.0	263.713106638	1590693338.25	
431.0	296.75	263.578151616	1590693338.28	
432.5	298.5	262.2781742	1590693338.31	
435.5	300.0	259.261102899	1590693338.35	
440.5	299.0	255.963756532	1590693338.38	
444.75	300.0	252.391014369	1590693338.41	
446.5	301.25	251.640143899	1590693338.44	
446.25	301.75	251.858121662	1590693338.48	
447.0	302.25	251.200114841	1590693338.51	
445.25	303.25	253.279126556	1590693338.54	
441.0	304.75	256.785341414	1590693338.58	
434.5	306.25	261.391113976	1590693338.61	
430.75	307.75	263.461037917	1590693338.64	
430.25	307.25	263.194419558	1590693338.68	
431.5	305.5	261.607074813	1590693338.71	
436.0	303.25	257.988521614	1590693338.74	
442.5	299.25	252.546305868	1590693338.78	
446.75	297.25	249.134858429	1590693338.81	
447.0	295.75	249.082032901	1590693338.85	
446.75	294.75	248.687526337	1590693338.88	
448.75	293.75	247.361893798	1590693338.91	
449.25	292.5	247.63261718	1590693338.94	
446.25	292.75	250.114834886	1590693338.98	
441.75	294.0	253.832282345	1590693339.01	
439.25	294.0	255.852394613	1590693339.04	
440.0	292.75	255.339767763	1590693339.08	
442.25	291.5	252.984082752	1590693339.11	
445.25	289.5	249.329876724	1590693339.14	
447.5	287.25	247.581107944	1590693339.17	
450.25	285.0	244.939557673	1590693339.21	
451.5	282.75	243.97545901	1590693339.24	
454.25	281.25	242.918784593	1590693339.27	
454.75	280.75	242.720065322	1590693339.31	
454.75	281.0	242.402704131	1590693339.34	
453.5	282.0	244.24472924	1590693339.37	
451.0	283.5	246.267060196	1590693339.41	
446.5	286.5	250.132954993	1590693339.44	
442.75	288.75	253.148199848	1590693339.47	
442.25	290.0	253.389141009	1590693339.5	
445.0	289.0	250.377743861	1590693339.54	
448.0	287.75	247.325911933	1590693339.57	
449.5	286.25	246.708447243	1590693339.6	
448.0	285.25	246.38460367	1590693339.64	
447.0	285.25	247.925971891	1590693339.67	
447.25	285.75	248.418450446	1590693339.71	
446.75	285.75	249.134858429	1590693339.74	
446.25	285.5	250.157029627	1590693339.77	
446.0	285.5	250.057615418	1590693339.8	
445.5	285.0	250.506938089	1590693339.84	
445.75	284.75	250.362166949	1590693339.87	
446.5	284.75	249.693306212	1590693339.9	
446.75	285.25	250.201123645	1590693339.94	
446.5	285.25	249.97601173	1590693339.97	
447.75	285.25	249.751542638	1590693340.01	
449.5	284.5	248.376803872	1590693340.04	
452.75	284.25	246.67858914	1590693340.07	
452.0	284.25	247.607498063	1590693340.1	
450.75	285.25	248.328121068	1590693340.14	
450.25	286.5	248.582833647	1590693340.17	
451.0	286.25	248.620185403	1590693340.2	
451.5	286.25	248.620185403	1590693340.24	
452.5	285.5	248.114207983	1590693340.27	
454.0	284.0	246.447736327	1590693340.3	
454.0	283.75	246.77173793	1590693340.33	
454.5	283.25	246.713935082	1590693340.37	
455.75	282.75	245.116725168	1590693340.4	
455.0	283.0	245.668758083	1590693340.43	
454.5	283.75	246.128061372	1590693340.47	
454.75	284.25	244.546367733	1590693340.5	
454.0	285.25	245.317696152	1590693340.53	
453.25	286.75	245.741587898	1590693340.57	
453.25	288.0	246.194056482	1590693340.6	
452.75	288.5	246.194056482	1590693340.63	
452.0	289.0	246.625835635	1590693340.67	
452.25	290.0	246.653816357	1590693340.7	
451.75	290.25	247.155446872	1590693340.73	
451.75	290.5	247.067899562	1590693340.77	
451.25	291.25	247.155446872	1590693340.8	
452.0	292.5	246.447736327	1590693340.83	
451.75	292.75	247.155446872	1590693340.86	
451.75	293.5	247.242363681	1590693340.9	
451.25	294.25	247.328656378	1590693340.93	
450.75	295.0	247.826007604	1590693340.97	
451.0	296.0	247.864508122	1590693341.0	
450.75	296.25	248.322696701	1590693341.03	
450.25	296.25	248.322696701	1590693341.06	
450.0	296.25	248.530015766	1590693341.1	
450.0	296.0	248.611377172	1590693341.13	
450.0	295.75	248.115972288	1590693341.17	
449.25	295.5	248.240109187	1590693341.2	
449.0	295.75	248.530015766	1590693341.23	
449.25	295.75	248.322696701	1590693341.26	
449.0	295.5	248.032756593	1590693341.3	
448.5	295.5	248.448062578	1590693341.33	
447.0	295.5	249.026506579	1590693341.36	
446.75	295.5	249.653540602	1590693341.39	
447.5	294.25	249.786250861	1590693341.43	
448.0	292.5	249.863696572	1590693341.46	
449.25	291.0	249.920305944	1590693341.49	
450.0	290.0	250.132954993	1590693341.53	
452.0	288.75	249.67686317	1590693341.56	
454.25	287.75	248.994896086	1590693341.59	
455.25	288.0	248.913698939	1590693341.63	
456.25	288.25	249.842389105	1590693341.66	
457.5	288.25	248.620185403	1590693341.69	
458.5	288.75	249.044223269	1590693341.73	
459.25	289.25	249.417465749	1590693341.76	
460.0	289.5	249.550452389	1590693341.79	
460.75	290.0	249.337605428	1590693341.83	
461.75	291.0	249.920305944	1590693341.86	
462.5	291.5	249.708232332	1590693341.89	
463.75	292.25	249.997647332	1590693341.92	
464.5	292.75	250.209613167	1590693341.96	
465.75	292.75	249.997647332	1590693341.99	
466.5	292.5	250.132954993	1590693342.03	
466.75	292.5	250.497551493	1590693342.06	
466.75	291.75	250.422144844	1590693342.09	
466.75	291.25	249.997647332	1590693342.12	
466.25	290.25	250.422144844	1590693342.16	
466.0	291.0	250.285705485	1590693342.19	
464.75	291.5	250.497551493	1590693342.23	
464.0	292.75	250.930806463	1590693342.26	
462.25	294.0	251.213547737	1590693342.29	
460.25	295.25	251.843860556	1590693342.32	
458.5	296.75	253.026716232	1590693342.36	
456.0	297.25	253.154273084	1590693342.4	
454.25	296.25	253.363603031	1590693342.42	
452.75	295.5	253.844620507	1590693342.46	
452.25	293.5	253.300755766	1590693342.49	
453.0	292.25	252.606677853	1590693342.52	
452.5	290.25	252.606677853	1590693342.56	
451.75	289.5	252.751274174	1590693342.59	
451.0	288.75	252.474431626	1590693342.62	
450.0	287.5	252.962232204	1590693342.65	
448.0	287.0	252.962232204	1590693342.69	
446.75	286.25	252.685608131	1590693342.72	
445.25	286.25	252.979474388	1590693342.76	
444.5	286.0	252.699472808	1590693342.79	
444.25	287.25	252.713684833	1590693342.82	
444.25	287.75	252.84757826	1590693342.85	
444.25	288.5	252.913773271	1590693342.88	
444.25	289.25	253.408091308	1590693342.92	
443.75	289.5	254.452060442	1590693342.95	
443.5	289.5	254.783673288	1590693342.99	
443.25	289.75	254.629054407	1590693343.02	
443.25	289.75	254.629054407	1590693343.05	
443.25	290.0	254.570494952	1590693343.09	
442.5	289.5	254.783673288	1590693343.12	
442.75	289.5	254.452060442	1590693343.15	
442.75	288.5	254.024095167	1590693343.19	
442.75	287.5	253.597952401	1590693343.22	
442.5	287.0	253.385575511	1590693343.25	
442.0	286.25	253.69632354	1590693343.29	
441.0	286.25	253.872424174	1590693343.32	
440.5	285.5	253.810793743	1590693343.35	
439.75	285.0	254.145453568	1590693343.39	
438.5	284.25	254.41703962	1590693343.42	
437.0	283.5	254.357753543	1590693343.45	
436.25	282.75	254.205461516	1590693343.48	
436.5	281.5	253.933599465	1590693343.52	
436.75	281.0	253.722195606	1590693343.55	
437.5	280.75	253.872424174	1590693343.58	
438.75	280.25	253.363603031	1590693343.62	
440.0	280.0	253.090728189	1590693343.65	
441.0	279.25	253.154273084	1590693343.68	
442.5	278.0	252.672078223	1590693343.71	
443.5	277.5	252.672078223	1590693343.75	
444.75	276.25	252.24711157	1590693343.78	
447.0	275.25	250.657885657	1590693343.81	
450.25	274.25	249.213646947	1590693343.85	
451.25	274.0	249.44395478	1590693343.88	
451.0	274.25	250.127824181	1590693343.91	
450.75	274.5	250.953375702	1590693343.95	
452.25	273.75	251.023263264	1590693343.98	
452.25	273.0	251.221966778	1590693344.01	
450.5	272.75	253.026716232	1590693344.04	
450.5	272.25	253.69632354	1590693344.08	
452.75	271.25	251.565051177	1590693344.11	
454.0	270.75	251.353107213	1590693344.14	
453.25	270.5	252.059577068	1590693344.18	
454.75	269.75	251.425984024	1590693344.21	
457.5	268.5	249.285825156	1590693344.25	
458.75	267.75	248.898791636	1590693344.28	
458.25	267.25	249.05734945	1590693344.31	
456.5	266.75	248.851970937	1590693344.34	
454.5	266.25	249.522156433	1590693344.38	
451.5	266.0	250.730705602	1590693344.41	
447.5	266.5	251.847294113	1590693344.44	
442.75	267.75	253.148199848	1590693344.48	
439.5	267.75	252.52111793	1590693344.51	
437.25	267.75	249.304549266	1590693344.54	
434.5	265.5	244.95379922	1590693344.58	
428.0	262.75	240.628578571	1590693344.61	
417.0	263.75	236.451578118	1590693344.64	
398.5	267.0	235.27100372	1590693344.68	
